Model,Loss,Hidden Dim,Num Layers,LR,Dropout,Bidirectional,Past Size,Window Size,Epochs,ExactMatch,Macro F1,Micro F1,Status,GPU
LSTM-Small-LR1e3-W100,BCEWithLogits,64,1,0.001,0.3,True,1,100,10,96.39000000000033,14.216887250580518,24.85207100591716,Success,0
LSTM-Small-LR1e3-W200,BCEWithLogits,64,1,0.001,0.3,True,1,200,10,96.36000000000013,13.860139860139862,24.218750000000004,Success,1
LSTM-Small-LR1e3-W500,BCEWithLogits,64,1,0.001,0.3,True,1,500,10,96.36000000000018,14.005634565894622,24.218750000000004,Success,0
LSTM-Small-LR5e4-W100,BCEWithLogits,64,1,0.0005,0.3,True,1,100,10,96.57,12.053686339400624,23.404255319148934,Success,1
LSTM-Small-LR5e4-W200,BCEWithLogits,64,1,0.0005,0.3,True,1,200,10,96.67000000000006,14.574221267454352,26.77824267782427,Success,0
LSTM-Small-LR5e4-W500,BCEWithLogits,64,1,0.0005,0.3,True,1,500,10,96.54000000000023,12.658011658271556,23.52941176470588,Success,1
LSTM-Small-LR1e4-W100,BCEWithLogits,64,1,0.0001,0.3,True,1,100,10,96.54000000000012,5.8273776800439805,9.290953545232272,Success,0
LSTM-Small-LR1e4-W200,BCEWithLogits,64,1,0.0001,0.3,True,1,200,10,96.51999999999984,4.7628687102371305,7.481296758104737,Success,1
LSTM-Small-LR1e4-W500,BCEWithLogits,64,1,0.0001,0.3,True,1,500,10,96.51000000000026,3.1876054609602704,4.603580562659846,Success,0
LSTM-Medium-LR1e3-W100,BCEWithLogits,128,2,0.001,0.3,True,1,100,10,95.80000000000017,14.038549241404075,22.299651567944252,Success,1
LSTM-Medium-LR1e3-W200,BCEWithLogits,128,2,0.001,0.3,True,1,200,10,96.36999999999979,18.676009145380007,30.935251798561147,Success,0
LSTM-Medium-LR1e3-W500,BCEWithLogits,128,2,0.001,0.3,True,1,500,10,96.05000000000005,16.379427872147094,26.94300518134715,Success,1
LSTM-Medium-LR5e4-W100,BCEWithLogits,128,2,0.0005,0.3,True,1,100,10,96.29000000000019,14.719151894334376,25.426944971537,Success,0
LSTM-Medium-LR5e4-W200,BCEWithLogits,128,2,0.0005,0.3,True,1,200,10,96.32999999999998,16.71167109672638,28.985507246376805,Success,1
LSTM-Medium-LR5e4-W500,BCEWithLogits,128,2,0.0005,0.3,True,1,500,10,96.37999999999998,17.14979793799091,29.1044776119403,Success,0
LSTM-Medium-LR1e4-W100,BCEWithLogits,128,2,0.0001,0.3,True,1,100,10,96.57999999999996,12.317693612210286,21.78649237472767,Success,1
LSTM-Medium-LR1e4-W200,BCEWithLogits,128,2,0.0001,0.3,True,1,200,10,96.54999999999986,11.799100449775112,21.166306695464364,Success,0
LSTM-Medium-LR1e4-W500,BCEWithLogits,128,2,0.0001,0.3,True,1,500,10,96.51999999999981,11.518708041875968,20.043572984749456,Success,1
LSTM-Medium-LR5e5-W100,BCEWithLogits,128,2,5e-05,0.3,True,1,100,10,96.51999999999973,7.988088147706968,12.705882352941176,Success,0
LSTM-Medium-LR5e5-W200,BCEWithLogits,128,2,5e-05,0.3,True,1,200,10,96.48,8.15404127752796,12.903225806451612,Success,1
LSTM-Medium-LR5e5-W500,BCEWithLogits,128,2,5e-05,0.3,True,1,500,10,96.56000000000002,7.0052910052910065,10.757946210268948,Success,0
LSTM-Large-LR1e3-W100,BCEWithLogits,256,2,0.001,0.3,True,1,100,10,95.53000000000016,17.25770352772106,25.391849529780565,Success,1
LSTM-Large-LR1e3-W200,BCEWithLogits,256,2,0.001,0.3,True,1,200,10,95.6299999999998,14.67586888830938,22.516556291390728,Success,0
LSTM-Large-LR1e3-W500,BCEWithLogits,256,2,0.001,0.3,True,1,500,10,96.14999999999996,1.054054054054054,1.4251781472684084,Success,1
LSTM-Large-LR5e4-W100,BCEWithLogits,256,2,0.0005,0.3,True,1,100,10,95.73999999999997,14.59353436423867,24.161073825503358,Success,0
LSTM-Large-LR5e4-W200,BCEWithLogits,256,2,0.0005,0.3,True,1,200,10,96.02999999999987,16.289539917446895,26.252158894645937,Success,1
LSTM-Large-LR5e4-W500,BCEWithLogits,256,2,0.0005,0.3,True,1,500,10,95.91999999999996,15.850405111652725,24.69565217391304,Success,0
LSTM-Large-LR1e4-W100,BCEWithLogits,256,2,0.0001,0.3,True,1,100,10,96.52999999999983,14.219425401228452,26.156941649899395,Success,1
LSTM-Large-LR1e4-W200,BCEWithLogits,256,2,0.0001,0.3,True,1,200,10,96.53999999999992,14.124279936266701,25.206611570247933,Success,0
LSTM-Large-LR1e4-W500,BCEWithLogits,256,2,0.0001,0.3,True,1,500,10,96.46000000000019,10.482541446698155,18.415417558886507,Success,1
LSTM-Large-LR5e5-W100,BCEWithLogits,256,2,5e-05,0.3,True,1,100,10,96.32999999999994,8.774592739401557,13.973799126637553,Success,0
LSTM-Large-LR5e5-W200,BCEWithLogits,256,2,5e-05,0.3,True,1,200,10,96.51999999999988,9.431524547803619,16.742081447963802,Success,1
LSTM-Large-LR5e5-W500,BCEWithLogits,256,2,5e-05,0.3,True,1,500,10,96.53999999999982,10.93584292743515,18.859649122807017,Success,0
LSTM-XLarge-LR5e4-W100,BCEWithLogits,256,3,0.0005,0.3,True,1,100,10,95.9100000000001,14.659406024054118,24.610051993067593,Success,1
LSTM-XLarge-LR5e4-W200,BCEWithLogits,256,3,0.0005,0.3,True,1,200,10,96.03,12.41528767875372,21.415607985480943,Success,0
LSTM-XLarge-LR5e4-W500,BCEWithLogits,256,3,0.0005,0.3,True,1,500,10,95.75999999999982,14.313444374165437,23.54892205638474,Success,1
LSTM-XLarge-LR1e4-W100,BCEWithLogits,256,3,0.0001,0.3,True,1,100,10,96.54999999999995,13.564213564213565,25.357873210633947,Success,0
LSTM-XLarge-LR1e4-W200,BCEWithLogits,256,3,0.0001,0.3,True,1,200,10,96.46999999999983,12.405372405372406,22.633744855967073,Success,1
