Model,Loss,Hidden Dim,Num Layers,LR,Past Size,Window Size,Epochs,Threshold,Pos Weight,Decay,ExactMatch,Macro F1,Micro F1,Status,GPU
Adapt-D0.99-T40-H128-L2,AdaptiveWeightedBCE,128,2,0.001,100,100,5,0.4,N/A,0.99,96.30340369659667,18.359340121454657,31.379310344827587,Success,0
Adapt-D0.99-T40-H128-L3,AdaptiveWeightedBCE,128,3,0.001,100,100,5,0.4,N/A,0.99,96.3135036864962,12.812630058962737,26.31578947368421,Success,1
Adapt-D0.99-T40-H256-L2,AdaptiveWeightedBCE,256,2,0.001,100,100,5,0.4,N/A,0.99,95.80850419149579,14.375395091008777,23.76910016977929,Success,0
Adapt-D0.99-T40-H256-L3,AdaptiveWeightedBCE,256,3,0.001,100,100,5,0.4,N/A,0.99,96.11150388849622,13.733527130470355,26.258992805755394,Success,1
Adapt-D0.99-T50-H128-L2,AdaptiveWeightedBCE,128,2,0.001,100,100,5,0.5,N/A,0.99,96.44480355519622,17.5529144657585,30.57090239410681,Success,0
Adapt-D0.99-T50-H128-L3,AdaptiveWeightedBCE,128,3,0.001,100,100,5,0.5,N/A,0.99,96.41450358549649,12.317494270435446,25.396825396825395,Success,1
Adapt-D0.99-T50-H256-L2,AdaptiveWeightedBCE,256,2,0.001,100,100,5,0.5,N/A,0.99,95.90950409049563,13.912324234904883,22.847100175746924,Success,0
Adapt-D0.99-T50-H256-L3,AdaptiveWeightedBCE,256,3,0.001,100,100,5,0.5,N/A,0.99,96.18220381779612,12.917404257156425,25.278810408921938,Success,1
Adapt-D0.999-T40-H128-L2,AdaptiveWeightedBCE,128,2,0.001,100,100,5,0.4,N/A,0.999,96.1620038379958,16.51190476190476,30.666666666666664,Success,0
Adapt-D0.999-T40-H128-L3,AdaptiveWeightedBCE,128,3,0.001,100,100,5,0.4,N/A,0.999,96.39430360569618,14.28911494332055,26.33587786259542,Success,1
Adapt-D0.999-T40-H256-L2,AdaptiveWeightedBCE,256,2,0.001,100,100,5,0.4,N/A,0.999,96.06100393899584,15.899306173278777,26.825127334465193,Success,0
Adapt-D0.999-T40-H256-L3,AdaptiveWeightedBCE,256,3,0.001,100,100,5,0.4,N/A,0.999,95.89940410059572,6.734989648033126,10.420841683366733,Success,1
Adapt-D0.999-T50-H128-L2,AdaptiveWeightedBCE,128,2,0.001,100,100,5,0.5,N/A,0.999,96.26300373699654,16.491516261893256,30.66202090592334,Success,0
Adapt-D0.999-T50-H128-L3,AdaptiveWeightedBCE,128,3,0.001,100,100,5,0.5,N/A,0.999,96.49530350469637,14.255937982353077,26.534653465346537,Success,1
Adapt-D0.999-T50-H256-L2,AdaptiveWeightedBCE,256,2,0.001,100,100,5,0.5,N/A,0.999,96.12160387839607,15.495713716108453,25.919439579684767,Success,0
Adapt-D0.999-T50-H256-L3,AdaptiveWeightedBCE,256,3,0.001,100,100,5,0.5,N/A,0.999,96.00040399959596,6.486055882905671,9.917355371900829,Success,1
