Model,Loss,Hidden Dim,Num Layers,LR,Dropout,Bidirectional,Past Size,Window Size,Epochs,ExactMatch,Macro F1,Micro F1,Status,GPU
LSTM-Small-LR1e3-W100-P1,BCEWithLogits,64,1,0.001,0.3,True,1,100,10,97.33000000000006,43.82864806160151,58.788774002954206,Success,0
LSTM-Small-LR1e3-W200-P1,BCEWithLogits,64,1,0.001,0.3,True,1,200,10,97.43000000000009,44.91533091533092,61.42857142857143,Success,1
LSTM-Small-LR1e3-W500-P1,BCEWithLogits,64,1,0.001,0.3,True,1,500,10,97.50999999999989,47.55036518473529,63.27683615819208,Success,0
LSTM-Small-LR5e4-W100-P1,BCEWithLogits,64,1,0.0005,0.3,True,1,100,10,97.39000000000014,43.58804525295568,59.01639344262295,Success,1
LSTM-Small-LR5e4-W200-P1,BCEWithLogits,64,1,0.0005,0.3,True,1,200,10,97.43000000000023,46.169662306448075,61.31805157593124,Success,0
LSTM-Small-LR5e4-W500-P1,BCEWithLogits,64,1,0.0005,0.3,True,1,500,10,97.51999999999992,47.33369963369964,62.994350282485875,Success,1
LSTM-Small-LR1e4-W100-P1,BCEWithLogits,64,1,0.0001,0.3,True,1,100,10,97.23000000000032,38.78041184558063,54.736842105263165,Success,0
LSTM-Small-LR1e4-W200-P1,BCEWithLogits,64,1,0.0001,0.3,True,1,200,10,97.24999999999964,40.46626937219444,55.96465390279825,Success,1
LSTM-Small-LR1e4-W500-P1,BCEWithLogits,64,1,0.0001,0.3,True,1,500,10,97.35000000000005,42.82064442666916,58.45272206303726,Success,0
LSTM-Medium-LR1e3-W100-P1,BCEWithLogits,128,2,0.001,0.3,True,1,100,10,97.01999999999967,39.747829032039554,53.93586005830904,Success,1
LSTM-Medium-LR1e3-W200-P1,BCEWithLogits,128,2,0.001,0.3,True,1,200,10,97.17999999999991,41.56175401835049,56.68604651162791,Success,0
LSTM-Medium-LR1e3-W500-P1,BCEWithLogits,128,2,0.001,0.3,True,1,500,10,97.19999999999996,42.74562870513927,57.834757834757845,Success,1
LSTM-Medium-LR5e4-W100-P1,BCEWithLogits,128,2,0.0005,0.3,True,1,100,10,97.16999999999982,40.99197813374014,55.45722713864307,Success,0
LSTM-Medium-LR5e4-W200-P1,BCEWithLogits,128,2,0.0005,0.3,True,1,200,10,97.09000000000005,42.25713522281993,56.661991584852736,Success,1
LSTM-Medium-LR5e4-W500-P1,BCEWithLogits,128,2,0.0005,0.3,True,1,500,10,97.2900000000002,44.11288780909725,58.97435897435898,Success,0
LSTM-Medium-LR1e4-W100-P1,BCEWithLogits,128,2,0.0001,0.3,True,1,100,10,97.2900000000002,42.454204973243215,58.092485549132945,Success,1
LSTM-Medium-LR1e4-W200-P1,BCEWithLogits,128,2,0.0001,0.3,True,1,200,10,97.15000000000005,42.93913741908957,57.62237762237762,Success,0
LSTM-Medium-LR1e4-W500-P1,BCEWithLogits,128,2,0.0001,0.3,True,1,500,10,97.35999999999996,44.75649350649351,60.9308885754584,Success,1
LSTM-Medium-LR5e5-W100-P1,BCEWithLogits,128,2,5e-05,0.3,True,1,100,10,97.29000000000008,41.982913625819826,57.391304347826086,Success,0
LSTM-Medium-LR5e5-W200-P1,BCEWithLogits,128,2,5e-05,0.3,True,1,200,10,97.23000000000009,43.58107585740884,58.217270194986085,Success,1
LSTM-Medium-LR5e5-W500-P1,BCEWithLogits,128,2,5e-05,0.3,True,1,500,10,97.39999999999979,44.50288191338536,60.97902097902098,Success,0
LSTM-Large-LR1e3-W100-P1,BCEWithLogits,256,2,0.001,0.3,True,1,100,10,96.93999999999996,39.19962850631309,53.3715925394548,Success,1
LSTM-Large-LR1e3-W200-P1,BCEWithLogits,256,2,0.001,0.3,True,1,200,10,97.14000000000027,42.459348697954994,56.98005698005698,Success,0
LSTM-Large-LR1e3-W500-P1,BCEWithLogits,256,2,0.001,0.3,True,1,500,10,96.97000000000008,38.81155068411541,53.85735080058224,Success,1
LSTM-Large-LR5e4-W100-P1,BCEWithLogits,256,2,0.0005,0.3,True,1,100,10,97.10000000000024,39.77428977818783,55.619596541786734,Success,0
LSTM-Large-LR5e4-W200-P1,BCEWithLogits,256,2,0.0005,0.3,True,1,200,10,97.2100000000003,42.176778434345856,57.865168539325836,Success,1
LSTM-Large-LR5e4-W500-P1,BCEWithLogits,256,2,0.0005,0.3,True,1,500,10,97.24000000000034,41.83630699958026,57.184325108853415,Success,0
LSTM-Large-LR1e4-W100-P1,BCEWithLogits,256,2,0.0001,0.3,True,1,100,10,97.36999999999986,44.19166990183573,59.138187221396734,Success,1
LSTM-Large-LR1e4-W200-P1,BCEWithLogits,256,2,0.0001,0.3,True,1,200,10,97.26000000000006,44.19387148798914,58.55072463768117,Success,0
LSTM-Large-LR1e4-W500-P1,BCEWithLogits,256,2,0.0001,0.3,True,1,500,10,97.42000000000037,46.171419498973684,61.24818577648766,Success,1
LSTM-Large-LR5e5-W100-P1,BCEWithLogits,256,2,5e-05,0.3,True,1,100,10,97.34000000000007,42.73301872595769,58.370370370370374,Success,0
LSTM-Large-LR5e5-W200-P1,BCEWithLogits,256,2,5e-05,0.3,True,1,200,10,97.16999999999986,42.90298212618882,57.670454545454554,Success,1
LSTM-Large-LR5e5-W500-P1,BCEWithLogits,256,2,5e-05,0.3,True,1,500,10,97.33999999999986,45.4932577516193,60.17191977077364,Success,0
LSTM-XLarge-LR5e4-W100-P1,BCEWithLogits,256,3,0.0005,0.3,True,1,100,10,96.93999999999973,39.72193579527568,53.802816901408455,Success,1
LSTM-XLarge-LR5e4-W200-P1,BCEWithLogits,256,3,0.0005,0.3,True,1,200,10,96.79000000000015,38.88551444188879,52.71966527196652,Success,0
LSTM-XLarge-LR5e4-W500-P1,BCEWithLogits,256,3,0.0005,0.3,True,1,500,10,96.81,38.63162850221674,51.84135977337111,Success,1
LSTM-XLarge-LR1e4-W100-P1,BCEWithLogits,256,3,0.0001,0.3,True,1,100,10,97.30000000000015,43.68427238614859,58.80681818181818,Success,0
LSTM-XLarge-LR1e4-W200-P1,BCEWithLogits,256,3,0.0001,0.3,True,1,200,10,97.13999999999999,40.93991294343734,56.37393767705382,Success,1
LSTM-XLarge-LR1e4-W500-P1,BCEWithLogits,256,3,0.0001,0.3,True,1,500,10,97.15000000000003,42.72700825332404,56.49717514124294,Success,0
LSTM-XLarge-LR5e5-W100-P1,BCEWithLogits,256,3,5e-05,0.3,True,1,100,10,97.15999999999977,42.16513855551025,55.793991416309005,Success,1
LSTM-XLarge-LR5e5-W200-P1,BCEWithLogits,256,3,5e-05,0.3,True,1,200,10,97.02999999999987,40.46783625730995,55.32503457814661,Success,0
LSTM-XLarge-LR5e5-W500-P1,BCEWithLogits,256,3,5e-05,0.3,True,1,500,10,97.06999999999981,41.45789933577286,55.367231638418076,Success,1
LSTM-Medium-Uni-LR1e3-W200-P1,BCEWithLogits,128,2,0.001,0.3,False,1,200,10,97.23000000000029,41.76374494317087,57.4712643678161,Success,0
LSTM-Medium-Uni-LR5e4-W200-P1,BCEWithLogits,128,2,0.0005,0.3,False,1,200,10,97.06999999999977,41.50430269194781,56.27586206896553,Success,1
LSTM-Medium-Uni-LR1e4-W200-P1,BCEWithLogits,128,2,0.0001,0.3,False,1,200,10,97.25999999999992,42.918000876628014,58.37837837837838,Success,0
LSTM-Small-LR1e3-W100-P5,BCEWithLogits,64,1,0.001,0.3,True,5,100,10,96.83873549419776,28.8391027359309,43.07692307692307,Success,1
LSTM-Small-LR1e3-W200-P5,BCEWithLogits,64,1,0.001,0.3,True,5,200,10,96.93877551020398,32.536337469529414,47.05882352941176,Success,0
LSTM-Small-LR1e3-W500-P5,BCEWithLogits,64,1,0.001,0.3,True,5,500,10,96.92877150860339,32.26124938783741,46.808510638297875,Success,1
LSTM-Small-LR5e4-W100-P5,BCEWithLogits,64,1,0.0005,0.3,True,5,100,10,96.76870748299315,30.57770515613653,44.481054365733115,Success,0
LSTM-Small-LR5e4-W200-P5,BCEWithLogits,64,1,0.0005,0.3,True,5,200,10,96.8387354941974,32.97410147991543,48.20031298904538,Success,1
LSTM-Small-LR5e4-W500-P5,BCEWithLogits,64,1,0.0005,0.3,True,5,500,10,97.00880352140867,36.52175894281157,51.829268292682926,Success,0
LSTM-Small-LR1e4-W100-P5,BCEWithLogits,64,1,0.0001,0.3,True,5,100,10,96.64865946378549,34.018124166233136,48.94514767932489,Success,1
LSTM-Small-LR1e4-W200-P5,BCEWithLogits,64,1,0.0001,0.3,True,5,200,10,96.22849139655831,28.878756476683936,40.469208211143695,Success,0
LSTM-Small-LR1e4-W500-P5,BCEWithLogits,64,1,0.0001,0.3,True,5,500,10,96.51860744297723,33.803624356091014,47.04225352112677,Success,1
LSTM-Medium-LR1e3-W100-P5,BCEWithLogits,128,2,0.001,0.3,True,5,100,10,96.56862745098007,27.775119320647125,41.80967238689547,Success,0
LSTM-Medium-LR1e3-W200-P5,BCEWithLogits,128,2,0.001,0.3,True,5,200,10,96.44857943177291,27.769419840888926,40.0,Success,1
LSTM-Medium-LR1e3-W500-P5,BCEWithLogits,128,2,0.001,0.3,True,5,500,10,96.12845138055208,25.184245986571568,35.22012578616352,Success,0
LSTM-Medium-LR5e4-W100-P5,BCEWithLogits,128,2,0.0005,0.3,True,5,100,10,96.18847539015579,25.644800543585966,36.39191290824262,Success,1
LSTM-Medium-LR5e4-W200-P5,BCEWithLogits,128,2,0.0005,0.3,True,5,200,10,96.41856742697108,29.184981684981686,41.509433962264154,Success,0
LSTM-Medium-LR5e4-W500-P5,BCEWithLogits,128,2,0.0005,0.3,True,5,500,10,96.34853941576633,28.79037053898011,40.667678300455236,Success,1
LSTM-Medium-LR1e4-W100-P5,BCEWithLogits,128,2,0.0001,0.3,True,5,100,10,96.34853941576601,31.14265873389188,43.29896907216495,Success,0
LSTM-Medium-LR1e4-W200-P5,BCEWithLogits,128,2,0.0001,0.3,True,5,200,10,96.3085234093638,28.432146936174167,39.5738203957382,Success,1
LSTM-Medium-LR1e4-W500-P5,BCEWithLogits,128,2,0.0001,0.3,True,5,500,10,96.27851140456181,30.499672520610797,41.98250728862973,Success,0
LSTM-Medium-LR5e5-W100-P5,BCEWithLogits,128,2,5e-05,0.3,True,5,100,10,96.02841136454616,27.26096026624457,38.01169590643275,Success,1
LSTM-Medium-LR5e5-W200-P5,BCEWithLogits,128,2,5e-05,0.3,True,5,200,10,96.34853941576668,32.12215605435944,44.05797101449275,Success,0
LSTM-Medium-LR5e5-W500-P5,BCEWithLogits,128,2,5e-05,0.3,True,5,500,10,96.48859543817527,34.14584976292704,45.9499263622975,Success,1
LSTM-Large-LR1e3-W100-P5,BCEWithLogits,256,2,0.001,0.3,True,5,100,10,96.51860744297738,27.788060643664902,40.83601286173633,Success,0
LSTM-Large-LR1e3-W200-P5,BCEWithLogits,256,2,0.001,0.3,True,5,200,10,96.22849139655875,27.267622378064594,37.42138364779874,Success,1
LSTM-Large-LR1e3-W500-P5,BCEWithLogits,256,2,0.001,0.3,True,5,500,10,96.58863545418164,29.664124891931703,41.21405750798722,Success,0
LSTM-Large-LR5e4-W100-P5,BCEWithLogits,256,2,0.0005,0.3,True,5,100,10,96.21848739495793,25.351916376306622,34.93589743589743,Success,1
LSTM-Large-LR5e4-W200-P5,BCEWithLogits,256,2,0.0005,0.3,True,5,200,10,96.59863945578238,31.57368109572535,43.24324324324324,Success,0
LSTM-Large-LR5e4-W500-P5,BCEWithLogits,256,2,0.0005,0.3,True,5,500,10,96.4085634253702,30.40957432340541,41.930618401206644,Success,1
LSTM-Large-LR1e4-W100-P5,BCEWithLogits,256,2,0.0001,0.3,True,5,100,10,96.21848739495789,28.37055281882868,40.303030303030305,Success,0
LSTM-Large-LR1e4-W200-P5,BCEWithLogits,256,2,0.0001,0.3,True,5,200,10,96.39855942376933,29.06051970793273,40.625,Success,1
LSTM-Large-LR1e4-W500-P5,BCEWithLogits,256,2,0.0001,0.3,True,5,500,10,96.09843937575027,29.90633816238387,41.38929088277858,Success,0
LSTM-Large-LR5e5-W100-P5,BCEWithLogits,256,2,5e-05,0.3,True,5,100,10,96.34853941576608,30.580066229595054,41.08761329305136,Success,1
LSTM-Large-LR5e5-W200-P5,BCEWithLogits,256,2,5e-05,0.3,True,5,200,10,96.15846338535418,27.661922538150424,38.34355828220859,Success,0
LSTM-Large-LR5e5-W500-P5,BCEWithLogits,256,2,5e-05,0.3,True,5,500,10,96.17847138855528,29.339818982624273,40.24024024024024,Success,1
LSTM-XLarge-LR5e4-W100-P5,BCEWithLogits,256,3,0.0005,0.3,True,5,100,10,95.98839535814308,25.642640694785353,35.45051698670606,Success,0
LSTM-XLarge-LR5e4-W200-P5,BCEWithLogits,256,3,0.0005,0.3,True,5,200,10,96.17847138855501,26.68821050048158,36.8421052631579,Success,1
LSTM-XLarge-LR5e4-W500-P5,BCEWithLogits,256,3,0.0005,0.3,True,5,500,10,96.23849539815954,25.76450622500141,35.881435257410295,Success,0
LSTM-XLarge-LR1e4-W100-P5,BCEWithLogits,256,3,0.0001,0.3,True,5,100,10,95.96838735494201,25.083150893020527,35.78947368421053,Success,1
LSTM-XLarge-LR1e4-W200-P5,BCEWithLogits,256,3,0.0001,0.3,True,5,200,10,95.9383753501401,25.63973504577191,36.127167630057805,Success,0
LSTM-XLarge-LR1e4-W500-P5,BCEWithLogits,256,3,0.0001,0.3,True,5,500,10,95.87835134053641,24.578479739957054,33.28335832083958,Success,1
LSTM-XLarge-LR5e5-W100-P5,BCEWithLogits,256,3,5e-05,0.3,True,5,100,10,95.89835934373747,25.06993089499161,34.9112426035503,Success,0
LSTM-XLarge-LR5e5-W200-P5,BCEWithLogits,256,3,5e-05,0.3,True,5,200,10,96.11844737895152,30.00039650837661,40.46242774566473,Success,1
LSTM-XLarge-LR5e5-W500-P5,BCEWithLogits,256,3,5e-05,0.3,True,5,500,10,95.94837935174067,26.920166743104634,35.60830860534125,Success,0
LSTM-Medium-Uni-LR1e3-W200-P5,BCEWithLogits,128,2,0.001,0.3,False,5,200,10,96.1984793917566,16.81351161154117,25.454545454545453,Success,1
LSTM-Medium-Uni-LR5e4-W200-P5,BCEWithLogits,128,2,0.0005,0.3,False,5,200,10,96.12845138055236,17.142222483398953,24.17582417582417,Success,0
LSTM-Medium-Uni-LR1e4-W200-P5,BCEWithLogits,128,2,0.0001,0.3,False,5,200,10,95.6782713085235,14.48973329772004,22.296173044925123,Success,1
LSTM-Small-LR1e3-W100-P10,BCEWithLogits,64,1,0.001,0.3,True,10,100,10,96.49684716244633,23.246531982240352,34.50704225352113,Success,0
LSTM-Small-LR1e3-W200-P10,BCEWithLogits,64,1,0.001,0.3,True,10,200,10,96.50685617055339,27.082602229432347,39.40397350993377,Success,1
LSTM-Small-LR1e3-W500-P10,BCEWithLogits,64,1,0.001,0.3,True,10,500,10,96.43679311380248,23.083442872916557,33.68421052631578,Success,0
LSTM-Small-LR5e4-W100-P10,BCEWithLogits,64,1,0.0005,0.3,True,10,100,10,96.28665799219272,22.411927153306465,33.61629881154499,Success,1
LSTM-Small-LR5e4-W200-P10,BCEWithLogits,64,1,0.0005,0.3,True,10,200,10,96.286657992193,23.826467675657128,34.276206322795346,Success,0
LSTM-Small-LR5e4-W500-P10,BCEWithLogits,64,1,0.0005,0.3,True,10,500,10,96.40676608948047,28.30890495733177,39.81042654028436,Success,1
LSTM-Small-LR1e4-W100-P10,BCEWithLogits,64,1,0.0001,0.3,True,10,100,10,95.77619857872108,21.271957828408024,29.513343799058084,Success,0
LSTM-Small-LR1e4-W200-P10,BCEWithLogits,64,1,0.0001,0.3,True,10,200,10,95.8362526273646,21.590404735419057,29.283489096573213,Success,1
LSTM-Small-LR1e4-W500-P10,BCEWithLogits,64,1,0.0001,0.3,True,10,500,10,95.88629766790108,25.924626028063813,35.103244837758105,Success,0
LSTM-Medium-LR1e3-W100-P10,BCEWithLogits,128,2,0.001,0.3,True,10,100,10,96.3867480732659,25.804668243265233,37.086092715231786,Success,1
LSTM-Medium-LR1e3-W200-P10,BCEWithLogits,128,2,0.001,0.3,True,10,200,10,96.46682013812425,29.98337218208006,41.32492113564668,Success,0
LSTM-Medium-LR1e3-W500-P10,BCEWithLogits,128,2,0.001,0.3,True,10,500,10,96.51686517866109,28.75575072689336,40.45307443365696,Success,1
LSTM-Medium-LR5e4-W100-P10,BCEWithLogits,128,2,0.0005,0.3,True,10,100,10,96.11650485436851,26.237133237133236,36.61538461538461,Success,0
LSTM-Medium-LR5e4-W200-P10,BCEWithLogits,128,2,0.0005,0.3,True,10,200,10,96.1965769192273,25.802675129366985,36.334913112164294,Success,1
LSTM-Medium-LR5e4-W500-P10,BCEWithLogits,128,2,0.0005,0.3,True,10,500,10,96.21659493544182,26.84593826731973,37.48079877112136,Success,0
LSTM-Medium-LR1e4-W100-P10,BCEWithLogits,128,2,0.0001,0.3,True,10,100,10,95.94635171654488,24.00313671062173,33.2824427480916,Success,1
LSTM-Medium-LR1e4-W200-P10,BCEWithLogits,128,2,0.0001,0.3,True,10,200,10,95.57601841657524,21.814473957537736,28.951255539143283,Success,0
