Model,Loss,Hidden Dim,Num Layers,LR,Dropout,Bidirectional,Past Size,Window Size,Epochs,ExactMatch,Macro F1,Micro F1,Status,GPU
LSTM-Small-LR1e3-W100,BCEWithLogits,64,1,0.001,0.3,True,1,100,10,96.72000000000016,27.148346307224813,41.47157190635451,Success,0
LSTM-Small-LR1e3-W200,BCEWithLogits,64,1,0.001,0.3,True,1,200,10,96.72000000000016,27.148346307224813,41.47157190635451,Success,1
LSTM-Small-LR1e3-W500,BCEWithLogits,64,1,0.001,0.3,True,1,500,10,96.72000000000016,27.148346307224813,41.47157190635451,Success,0
LSTM-Small-LR5e4-W100,BCEWithLogits,64,1,0.0005,0.3,True,1,100,10,96.84000000000012,27.159340794647264,41.68126094570928,Success,1
LSTM-Small-LR5e4-W200,BCEWithLogits,64,1,0.0005,0.3,True,1,200,10,96.84000000000012,27.159340794647264,41.68126094570928,Success,0
LSTM-Small-LR5e4-W500,BCEWithLogits,64,1,0.0005,0.3,True,1,500,10,96.84000000000012,27.159340794647264,41.68126094570928,Success,1
LSTM-Small-LR1e4-W100,BCEWithLogits,64,1,0.0001,0.3,True,1,100,10,96.48999999999978,14.154942876026816,22.090729783037474,Success,0
LSTM-Small-LR1e4-W200,BCEWithLogits,64,1,0.0001,0.3,True,1,200,10,96.48999999999978,14.154942876026816,22.090729783037474,Success,1
LSTM-Small-LR1e4-W500,BCEWithLogits,64,1,0.0001,0.3,True,1,500,10,96.48999999999978,14.154942876026816,22.090729783037474,Success,0
LSTM-Medium-LR1e3-W100,BCEWithLogits,128,2,0.001,0.3,True,1,100,10,96.09999999999958,21.157517080372163,32.899022801302934,Success,1
LSTM-Medium-LR1e3-W200,BCEWithLogits,128,2,0.001,0.3,True,1,200,10,96.15999999999983,21.577647488349115,33.4959349593496,Success,0
LSTM-Medium-LR1e3-W500,BCEWithLogits,128,2,0.001,0.3,True,1,500,10,96.09999999999958,21.157517080372163,32.899022801302934,Success,1
LSTM-Medium-LR5e4-W100,BCEWithLogits,128,2,0.0005,0.3,True,1,100,10,96.46000000000001,23.500709645600985,35.810810810810814,Success,0
LSTM-Medium-LR5e4-W200,BCEWithLogits,128,2,0.0005,0.3,True,1,200,10,96.46000000000001,23.500709645600985,35.810810810810814,Success,1
LSTM-Medium-LR5e4-W500,BCEWithLogits,128,2,0.0005,0.3,True,1,500,10,96.46000000000001,23.500709645600985,35.810810810810814,Success,0
LSTM-Medium-LR1e4-W100,BCEWithLogits,128,2,0.0001,0.3,True,1,100,10,96.64999999999993,20.077399380804952,30.56092843326886,Success,1
LSTM-Medium-LR1e4-W200,BCEWithLogits,128,2,0.0001,0.3,True,1,200,10,96.64999999999993,20.077399380804952,30.56092843326886,Success,0
LSTM-Medium-LR1e4-W500,BCEWithLogits,128,2,0.0001,0.3,True,1,500,10,96.64999999999993,20.077399380804952,30.56092843326886,Success,1
LSTM-Medium-LR5e5-W100,BCEWithLogits,128,2,5e-05,0.3,True,1,100,10,96.40000000000003,9.73762300926155,14.83050847457627,Success,0
LSTM-Medium-LR5e5-W200,BCEWithLogits,128,2,5e-05,0.3,True,1,200,10,96.40000000000003,9.73762300926155,14.83050847457627,Success,1
LSTM-Medium-LR5e5-W500,BCEWithLogits,128,2,5e-05,0.3,True,1,500,10,96.40000000000003,9.73762300926155,14.83050847457627,Success,0
LSTM-Large-LR1e3-W100,BCEWithLogits,256,2,0.001,0.3,True,1,100,10,95.91999999999994,19.396958798031207,28.985507246376805,Success,1
LSTM-Large-LR1e3-W200,BCEWithLogits,256,2,0.001,0.3,True,1,200,10,95.93000000000028,20.605374149061905,29.307568438003223,Success,0
LSTM-Large-LR1e3-W500,BCEWithLogits,256,2,0.001,0.3,True,1,500,10,95.91999999999994,19.396958798031207,28.985507246376805,Success,1
LSTM-Large-LR5e4-W100,BCEWithLogits,256,2,0.0005,0.3,True,1,100,10,96.28999999999989,22.288978723816175,33.993399339933994,Success,0
LSTM-Large-LR5e4-W200,BCEWithLogits,256,2,0.0005,0.3,True,1,200,10,96.30000000000003,22.678642230044098,34.53947368421053,Success,1
LSTM-Large-LR5e4-W500,BCEWithLogits,256,2,0.0005,0.3,True,1,500,10,96.28999999999989,22.288978723816175,33.993399339933994,Success,0
LSTM-Large-LR1e4-W100,BCEWithLogits,256,2,0.0001,0.3,True,1,100,10,96.74000000000007,24.061341096570317,36.56307129798903,Success,1
LSTM-Large-LR1e4-W200,BCEWithLogits,256,2,0.0001,0.3,True,1,200,10,96.74000000000007,24.061341096570317,36.56307129798903,Success,0
LSTM-Large-LR1e4-W500,BCEWithLogits,256,2,0.0001,0.3,True,1,500,10,96.74000000000007,24.061341096570317,36.56307129798903,Success,1
LSTM-Large-LR5e5-W100,BCEWithLogits,256,2,5e-05,0.3,True,1,100,10,96.62999999999991,17.67405563828392,27.54491017964072,Success,0
LSTM-Large-LR5e5-W200,BCEWithLogits,256,2,5e-05,0.3,True,1,200,10,96.62999999999991,17.67405563828392,27.54491017964072,Success,1
LSTM-Large-LR5e5-W500,BCEWithLogits,256,2,5e-05,0.3,True,1,500,10,96.62999999999991,17.67405563828392,27.54491017964072,Success,0
LSTM-XLarge-LR5e4-W100,BCEWithLogits,256,3,0.0005,0.3,True,1,100,10,96.08999999999956,18.650598091483356,28.37837837837838,Success,1
LSTM-XLarge-LR5e4-W200,BCEWithLogits,256,3,0.0005,0.3,True,1,200,10,96.39000000000007,18.142417968504926,29.454545454545457,Success,0
LSTM-XLarge-LR5e4-W500,BCEWithLogits,256,3,0.0005,0.3,True,1,500,10,96.08999999999956,18.650598091483356,28.37837837837838,Success,1
LSTM-XLarge-LR1e4-W100,BCEWithLogits,256,3,0.0001,0.3,True,1,100,10,96.61999999999965,23.88974371909999,34.16370106761566,Success,0
LSTM-XLarge-LR1e4-W200,BCEWithLogits,256,3,0.0001,0.3,True,1,200,10,96.61999999999965,23.88974371909999,34.16370106761566,Success,1
LSTM-XLarge-LR1e4-W500,BCEWithLogits,256,3,0.0001,0.3,True,1,500,10,96.61999999999965,23.88974371909999,34.16370106761566,Success,0
LSTM-XLarge-LR5e5-W100,BCEWithLogits,256,3,5e-05,0.3,True,1,100,10,96.50000000000014,13.450980392156861,21.301775147928996,Success,1
