Model,Hidden Dim,Num Layers,Bidirectional,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status
LSTM-Small-LR1e3-W100,64,1,True,0.001,0.3,100,97.38999999999997,43.408980549843676,59.2814371257485,Success
LSTM-Small-LR1e3-W200,64,1,True,0.001,0.3,200,97.38999999999956,46.46411300305437,61.340941512125546,Success
LSTM-Small-LR1e3-W500,64,1,True,0.001,0.3,500,97.4500000000002,46.16861416920672,61.60583941605841,Success
LSTM-Small-LR5e4-W100,64,1,True,0.0005,0.3,100,97.36000000000011,43.8379670530874,59.49177877428998,Success
LSTM-Small-LR5e4-W200,64,1,True,0.0005,0.3,200,97.4400000000003,47.0767794297206,61.93921852387844,Success
LSTM-Small-LR5e4-W500,64,1,True,0.0005,0.3,500,97.5100000000002,46.8451698652048,62.7906976744186,Success
LSTM-Small-LR1e4-W100,64,1,True,0.0001,0.3,100,97.38000000000042,40.28730556045789,57.14285714285714,Success
LSTM-Small-LR1e4-W200,64,1,True,0.0001,0.3,200,97.3699999999999,42.097005741050175,58.67895545314901,Success
LSTM-Small-LR1e4-W500,64,1,True,0.0001,0.3,500,97.47000000000016,44.357063204430894,60.843373493975896,Success
LSTM-Medium-LR1e3-W100,128,2,True,0.001,0.3,100,97.10999999999997,41.53584008331523,56.35036496350365,Success
LSTM-Medium-LR1e3-W200,128,2,True,0.001,0.3,200,97.16999999999992,42.500892480006044,57.647058823529406,Success
LSTM-Medium-LR1e3-W500,128,2,True,0.001,0.3,500,97.38000000000004,43.23161395093177,59.14634146341464,Success
LSTM-Medium-LR5e4-W100,128,2,True,0.0005,0.3,100,97.28999999999998,43.95228198756667,58.89212827988338,Success
LSTM-Medium-LR5e4-W200,128,2,True,0.0005,0.3,200,97.24000000000002,42.92952018900076,58.465991316931984,Success
LSTM-Medium-LR5e4-W500,128,2,True,0.0005,0.3,500,97.22999999999995,42.10162993058586,57.61194029850747,Success
LSTM-Medium-LR1e4-W100,128,2,True,0.0001,0.3,100,97.37000000000002,42.909427388758694,59.94065281899109,Success
LSTM-Medium-LR1e4-W200,128,2,True,0.0001,0.3,200,97.11999999999995,42.31854337860159,57.510729613733915,Success
LSTM-Medium-LR1e4-W500,128,2,True,0.0001,0.3,500,97.46999999999987,45.14385196039389,61.285500747384155,Success
LSTM-Medium-LR5e5-W100,128,2,True,5e-05,0.3,100,97.44000000000015,43.305982570904646,60.21180030257186,Success
LSTM-Medium-LR5e5-W200,128,2,True,5e-05,0.3,200,97.3399999999998,44.51869961023118,60.17441860465117,Success
LSTM-Medium-LR5e5-W500,128,2,True,5e-05,0.3,500,97.45000000000016,45.199352992410105,62.33766233766234,Success
LSTM-Large-LR1e3-W100,256,2,True,0.001,0.3,100,96.93999999999997,38.61670761670762,52.380952380952394,Success
LSTM-Large-LR1e3-W200,256,2,True,0.001,0.3,200,97.03,40.99350273233145,55.685131195335266,Success
LSTM-Large-LR1e3-W500,256,2,True,0.001,0.3,500,97.09000000000016,40.01692331252569,54.81927710843374,Success
LSTM-Large-LR5e4-W100,256,2,True,0.0005,0.3,100,97.0700000000001,40.49725061937186,54.78645066273932,Success
LSTM-Large-LR5e4-W200,256,2,True,0.0005,0.3,200,97.24000000000017,44.66999616502373,59.74395448079659,Success
LSTM-Large-LR5e4-W500,256,2,True,0.0005,0.3,500,97.16000000000001,40.97419204836085,56.502242152466366,Success
LSTM-Large-LR1e4-W100,256,2,True,0.0001,0.3,100,97.38999999999966,44.56585071607501,59.402985074626855,Success
LSTM-Large-LR1e4-W200,256,2,True,0.0001,0.3,200,97.15000000000006,43.873794437272714,57.95454545454546,Success
LSTM-Large-LR1e4-W500,256,2,True,0.0001,0.3,500,97.35999999999983,44.08149989545338,60.237388724035604,Success
LSTM-Large-LR5e5-W100,256,2,True,5e-05,0.3,100,97.37999999999988,42.84656270111629,59.15915915915916,Success
LSTM-Large-LR5e5-W200,256,2,True,5e-05,0.3,200,97.22000000000008,43.6665042122456,58.941344778254646,Success
LSTM-Large-LR5e5-W500,256,2,True,5e-05,0.3,500,97.3899999999998,45.80161060824044,60.43795620437956,Success
LSTM-XLarge-LR5e4-W100,256,3,True,0.0005,0.3,100,96.90999999999994,39.14435777351379,52.554744525547434,Success
LSTM-XLarge-LR5e4-W200,256,3,True,0.0005,0.3,200,96.93999999999988,40.974354876649706,54.44126074498568,Success
LSTM-XLarge-LR5e4-W500,256,3,True,0.0005,0.3,500,96.84000000000006,39.38929093938491,53.06122448979592,Success
LSTM-XLarge-LR1e4-W100,256,3,True,0.0001,0.3,100,97.23999999999997,43.685027616062094,59.36599423631124,Success
LSTM-XLarge-LR1e4-W200,256,3,True,0.0001,0.3,200,97.24999999999991,43.15908179664265,58.87445887445887,Success
LSTM-XLarge-LR1e4-W500,256,3,True,0.0001,0.3,500,97.09000000000036,41.32736474177754,54.91923641703378,Success
LSTM-XLarge-LR5e5-W100,256,3,True,5e-05,0.3,100,97.24999999999996,43.06467296287656,57.39910313901346,Success
LSTM-XLarge-LR5e5-W200,256,3,True,5e-05,0.3,200,97.28000000000007,43.3732665071043,59.710144927536234,Success
LSTM-XLarge-LR5e5-W500,256,3,True,5e-05,0.3,500,97.17000000000012,41.28792171685158,57.1001494768311,Success
LSTM-Medium-Uni-LR1e3-W200,128,2,False,0.001,0.3,200,97.19000000000015,41.52867933672887,56.63189269746647,Success
LSTM-Medium-Uni-LR5e4-W200,128,2,False,0.0005,0.3,200,97.11000000000017,42.87659603703238,56.81492109038738,Success
LSTM-Medium-Uni-LR1e4-W200,128,2,False,0.0001,0.3,200,97.37000000000006,44.66108533448839,61.070911722141815,Success
