Model,Hidden Dim,Num Layers,Bidirectional,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status,GPU,Duration
LSTM-Small-LR1e3-W100,64,1,True,0.001,0.3,100,99.71133138851096,99.92130113119647,99.9217279415976,Success,0,1416.54s
LSTM-Small-LR1e3-W200,64,1,True,0.001,0.3,200,99.61052647656248,99.87637147779735,99.88348950832572,Success,1,1482.77s
LSTM-Small-LR1e3-W500,64,1,True,0.001,0.3,500,99.34782276663668,99.78297272451132,99.79385701555444,Success,0,1623.81s
LSTM-Small-LR5e4-W100,64,1,True,0.0005,0.3,100,99.67467505689368,99.91185529157053,99.91218960935831,Success,1,1442.96s
LSTM-Small-LR5e4-W200,64,1,True,0.0005,0.3,200,99.59678035220647,99.87181328553741,99.87966949220525,Success,0,1463.11s
LSTM-Small-LR5e4-W500,64,1,True,0.0005,0.3,500,99.33407664227994,99.77932769497993,99.7904109169905,Success,1,1650.43s
LSTM-Small-LR1e4-W100,64,1,True,0.0001,0.3,100,99.18439662150817,99.7897668886786,99.78177101217047,Success,0,1429.65s
LSTM-Small-LR1e4-W200,64,1,True,0.0001,0.3,200,99.26534602049657,99.7915962061935,99.7930476219568,Success,1,1496.46s
LSTM-Small-LR1e4-W500,64,1,True,0.0001,0.3,500,99.18897866296071,99.74486719880363,99.75411183896047,Success,0,1618.81s
LSTM-Medium-LR1e3-W100,128,2,True,0.001,0.3,100,99.51888564751809,99.87606103914295,99.87211836876482,Success,1,1807.46s
LSTM-Medium-LR1e3-W200,128,2,True,0.001,0.3,200,99.48681135735298,99.84867010321786,99.85296532655065,Success,0,2052.81s
LSTM-Medium-LR1e3-W500,128,2,True,0.001,0.3,500,99.2439631603863,99.75991968510654,99.76789626836849,Success,1,8508.14s
LSTM-Medium-LR5e4-W100,128,2,True,0.0005,0.3,100,99.59067096360405,99.89290346750354,99.89119105705025,Success,0,1558.73s
LSTM-Medium-LR5e4-W200,128,2,True,0.0005,0.3,200,99.6044170879602,99.87534816056537,99.8823412561981,Success,1,5539.72s
LSTM-Medium-LR5e4-W500,128,2,True,0.0005,0.3,500,99.29131092205951,99.7703225675286,99.7797238900149,Success,0,5973.79s
LSTM-Medium-LR1e4-W100,128,2,True,0.0001,0.3,100,99.60899912941255,99.89600128812175,99.89577487372723,Success,1,1806.15s
LSTM-Medium-LR1e4-W200,128,2,True,0.0001,0.3,200,99.54637789623129,99.85915251675792,99.86629892504337,Success,0,4332.21s
LSTM-Medium-LR1e4-W500,128,2,True,0.0001,0.3,500,99.27603745055215,99.76492311433607,99.77473945883928,Success,1,9085.41s
LSTM-Medium-LR5e5-W100,128,2,True,5e-05,0.3,100,99.46237380294177,99.85753927993521,99.85455406122472,Success,0,1529.84s
LSTM-Medium-LR5e5-W200,128,2,True,5e-05,0.3,200,99.47001053869529,99.84068750278524,99.84605099799447,Success,1,5968.57s
LSTM-Medium-LR5e5-W500,128,2,True,5e-05,0.3,500,99.20577948161835,99.74867282399741,99.75752661852894,Success,0,5606.51s
LSTM-Large-LR1e3-W100,256,2,True,0.001,0.3,100,99.39975256976199,99.84800955365158,99.84084637667884,Success,1,1706.45s
LSTM-Large-LR1e3-W200,256,2,True,0.001,0.3,200,99.4944480931068,99.84992616663358,99.85448962522486,Success,0,3044.12s
LSTM-Large-LR1e3-W500,256,2,True,0.001,0.3,500,99.23785377178412,99.75763177817689,99.76598348118692,Success,1,2763.71s
LSTM-Large-LR5e4-W100,256,2,True,0.0005,0.3,100,99.55248728483492,99.88419673156135,99.88127550572436,Success,0,1742.95s
LSTM-Large-LR5e4-W200,256,2,True,0.0005,0.3,200,99.53874116047808,99.86038537906926,99.86593484662717,Success,1,2172.81s
LSTM-Large-LR5e4-W500,256,2,True,0.0005,0.3,500,99.269928061949,99.76548539192716,99.77438376174925,Success,0,1932.41s
LSTM-Large-LR1e4-W100,256,2,True,0.0001,0.3,100,99.65787423823552,99.9080160530066,99.9079840098354,Success,1,1827.17s
LSTM-Large-LR1e4-W200,256,2,True,0.0001,0.3,200,99.58608892215149,99.86986967226035,99.87737560882437,Success,0,1822.12s
LSTM-Large-LR1e4-W500,256,2,True,0.0001,0.3,500,99.26992806194933,99.76457899471144,99.77435615013349,Success,1,2919.19s
LSTM-Large-LR5e5-W100,256,2,True,5e-05,0.3,100,99.54943259053344,99.88171492071957,99.88012979576256,Success,0,1716.57s
LSTM-Large-LR5e5-W200,256,2,True,5e-05,0.3,200,99.51583095321844,99.85324305667919,99.85942179573375,Success,1,2528.46s
LSTM-Large-LR5e5-W500,256,2,True,5e-05,0.3,500,99.23938111893523,99.75740078108565,99.76670185261676,Success,0,1888.72s
LSTM-XLarge-LR5e4-W100,256,3,True,0.0005,0.3,100,99.33254929512943,99.82989849523678,99.8217713712155,Success,1,3260.73s
LSTM-XLarge-LR5e4-W200,256,3,True,0.0005,0.3,200,99.4639011500931,99.83969943077253,99.84341463042034,Success,0,2077.13s
LSTM-XLarge-LR5e4-W500,256,3,True,0.0005,0.3,500,99.1706504971516,99.7413982546828,99.74803378411964,Success,1,6327.65s
