Model,Architecture,Window Size,LR,Dropout,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-XL-W100-LR0.001-DO0.1,"[512, 256, 128]",100,0.001,0.1,95.78000000000006,11.07641344092974,16.074766355140184,Success,0
MLP-XL-W100-LR0.001-DO0.3,"[512, 256, 128]",100,0.001,0.3,96.10999999999996,8.232439925051569,13.163481953290871,Success,1
MLP-XL-W100-LR0.001-DO0.5,"[512, 256, 128]",100,0.001,0.5,96.3,3.089288301152708,4.368932038834951,Success,0
MLP-XL-W100-LR0.0005-DO0.1,"[512, 256, 128]",100,0.0005,0.1,95.65999999999978,12.718954248366012,17.857142857142858,Success,1
MLP-XL-W100-LR0.0005-DO0.3,"[512, 256, 128]",100,0.0005,0.3,96.24000000000034,14.649271910355655,21.073558648111334,Success,0
MLP-XL-W100-LR0.0005-DO0.5,"[512, 256, 128]",100,0.0005,0.5,96.30999999999995,15.101319189446482,22.31075697211155,Success,1
MLP-XL-W100-LR0.0001-DO0.1,"[512, 256, 128]",100,0.0001,0.1,96.43000000000018,24.83187544163154,37.58389261744966,Success,0
MLP-XL-W100-LR0.0001-DO0.3,"[512, 256, 128]",100,0.0001,0.3,96.62000000000019,24.744889519083067,37.30017761989343,Success,1
MLP-XL-W100-LR0.0001-DO0.5,"[512, 256, 128]",100,0.0001,0.5,96.71999999999987,22.7750882428674,36.92870201096893,Success,0
MLP-XL-W100-LR5e-05-DO0.1,"[512, 256, 128]",100,5e-05,0.1,96.62999999999988,25.46854887553328,38.16254416961131,Success,1
MLP-XL-W100-LR5e-05-DO0.3,"[512, 256, 128]",100,5e-05,0.3,96.65999999999978,23.623803009575926,36.95652173913044,Success,0
MLP-XL-W100-LR5e-05-DO0.5,"[512, 256, 128]",100,5e-05,0.5,96.64000000000001,17.256510158873652,28.857715430861724,Success,1
MLP-XL-W100-LR1e-05-DO0.1,"[512, 256, 128]",100,1e-05,0.1,96.5000000000002,10.27027027027027,15.102974828375284,Success,0
MLP-XL-W100-LR1e-05-DO0.3,"[512, 256, 128]",100,1e-05,0.3,96.53999999999964,5.173699914748508,7.98004987531172,Success,1
MLP-XL-W100-LR1e-05-DO0.5,"[512, 256, 128]",100,1e-05,0.5,96.51999999999967,0.0,0.0,Success,0
MLP-XL-W200-LR0.001-DO0.1,"[512, 256, 128]",200,0.001,0.1,95.8299999999998,10.840750724137953,15.769230769230768,Success,1
MLP-XL-W200-LR0.001-DO0.3,"[512, 256, 128]",200,0.001,0.3,96.21999999999986,1.3284341435839457,1.9464720194647198,Success,0
MLP-XL-W200-LR0.001-DO0.5,"[512, 256, 128]",200,0.001,0.5,96.37000000000006,3.5952875952875956,5.405405405405404,Success,1
MLP-XL-W200-LR0.0005-DO0.1,"[512, 256, 128]",200,0.0005,0.1,95.70999999999992,17.39270208174996,26.623376623376622,Success,0
MLP-XL-W200-LR0.0005-DO0.3,"[512, 256, 128]",200,0.0005,0.3,96.1299999999997,10.519950637597695,15.22633744855967,Success,1
MLP-XL-W200-LR0.0005-DO0.5,"[512, 256, 128]",200,0.0005,0.5,96.2700000000002,13.68836171020418,20.161290322580648,Success,0
MLP-XL-W200-LR0.0001-DO0.1,"[512, 256, 128]",200,0.0001,0.1,96.48999999999988,25.40903321101341,38.240270727580366,Success,1
MLP-XL-W200-LR0.0001-DO0.3,"[512, 256, 128]",200,0.0001,0.3,96.58999999999997,23.812807881773402,35.90664272890485,Success,0
MLP-XL-W200-LR0.0001-DO0.5,"[512, 256, 128]",200,0.0001,0.5,96.74000000000025,22.811425452169726,36.996336996337,Success,1
MLP-XL-W200-LR5e-05-DO0.1,"[512, 256, 128]",200,5e-05,0.1,96.59000000000006,25.357187968025407,38.111888111888106,Success,0
MLP-XL-W200-LR5e-05-DO0.3,"[512, 256, 128]",200,5e-05,0.3,96.66999999999982,23.862102709017748,37.251356238698015,Success,1
MLP-XL-W200-LR5e-05-DO0.5,"[512, 256, 128]",200,5e-05,0.5,96.64000000000001,17.256510158873652,28.857715430861724,Success,0
MLP-XL-W200-LR1e-05-DO0.1,"[512, 256, 128]",200,1e-05,0.1,96.5000000000002,10.27027027027027,15.102974828375284,Success,1
MLP-XL-W200-LR1e-05-DO0.3,"[512, 256, 128]",200,1e-05,0.3,96.53999999999964,5.173699914748508,7.98004987531172,Success,0
MLP-XL-W200-LR1e-05-DO0.5,"[512, 256, 128]",200,1e-05,0.5,96.51999999999967,0.0,0.0,Success,1
MLP-XL-W500-LR0.001-DO0.1,"[512, 256, 128]",500,0.001,0.1,95.85000000000007,10.740459374443587,15.648854961832063,Success,0
MLP-XL-W500-LR0.001-DO0.3,"[512, 256, 128]",500,0.001,0.3,96.14999999999976,7.908801321378007,12.903225806451612,Success,1
MLP-XL-W500-LR0.001-DO0.5,"[512, 256, 128]",500,0.001,0.5,96.33999999999978,3.1374020231794733,4.411764705882352,Success,0
MLP-XL-W500-LR0.0005-DO0.1,"[512, 256, 128]",500,0.0005,0.1,95.72000000000017,12.647943387881465,17.753623188405797,Success,1
MLP-XL-W500-LR0.0005-DO0.3,"[512, 256, 128]",500,0.0005,0.3,96.29999999999981,14.652762766878372,21.01010101010101,Success,0
MLP-XL-W500-LR0.0005-DO0.5,"[512, 256, 128]",500,0.0005,0.5,96.34999999999958,15.000047452887191,22.177419354838708,Success,1
MLP-XL-W500-LR0.0001-DO0.1,"[512, 256, 128]",500,0.0001,0.1,96.47000000000014,24.9882801146361,37.83783783783783,Success,0
MLP-XL-W500-LR0.0001-DO0.3,"[512, 256, 128]",500,0.0001,0.3,96.63999999999994,24.841003745113333,37.4331550802139,Success,1
MLP-XL-W500-LR0.0001-DO0.5,"[512, 256, 128]",500,0.0001,0.5,96.71999999999987,22.7750882428674,36.92870201096893,Success,0
MLP-XL-W500-LR5e-05-DO0.1,"[512, 256, 128]",500,5e-05,0.1,96.63999999999994,25.512610178215272,38.230088495575224,Success,1
MLP-XL-W500-LR5e-05-DO0.3,"[512, 256, 128]",500,5e-05,0.3,96.65999999999978,23.623803009575926,36.95652173913044,Success,0
MLP-XL-W500-LR5e-05-DO0.5,"[512, 256, 128]",500,5e-05,0.5,96.64000000000001,17.256510158873652,28.857715430861724,Success,1
MLP-XL-W500-LR1e-05-DO0.1,"[512, 256, 128]",500,1e-05,0.1,96.5000000000002,10.27027027027027,15.102974828375284,Success,0
MLP-XL-W500-LR1e-05-DO0.3,"[512, 256, 128]",500,1e-05,0.3,96.53999999999964,5.173699914748508,7.98004987531172,Success,1
MLP-XL-W500-LR1e-05-DO0.5,"[512, 256, 128]",500,1e-05,0.5,96.51999999999967,0.0,0.0,Success,0
