Model,Architecture,Window Size,LR,Dropout,Loss,Threshold,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-XL-W500-LR0.0001-DO0.1-focal-TH0.3,"[512, 256, 128]",500,0.0001,0.1,focal,0.3,95.50999999999976,25.82468644097404,38.402061855670105,Success,0
MLP-XL-W500-LR0.0001-DO0.1-focal-TH0.4,"[512, 256, 128]",500,0.0001,0.1,focal,0.4,96.09,23.930581205190865,35.44303797468354,Success,1
MLP-XL-W500-LR0.0001-DO0.1-focal-TH0.5,"[512, 256, 128]",500,0.0001,0.1,focal,0.5,96.35999999999984,18.65255330944871,27.151051625239003,Success,0
MLP-XL-W500-LR5e-05-DO0.1-focal-TH0.3,"[512, 256, 128]",500,5e-05,0.1,focal,0.3,95.82999999999961,27.6837065486337,42.23107569721115,Success,1
MLP-XL-W500-LR5e-05-DO0.1-focal-TH0.4,"[512, 256, 128]",500,5e-05,0.1,focal,0.4,96.44000000000004,27.436577681976456,41.45569620253165,Success,0
MLP-XL-W500-LR5e-05-DO0.1-focal-TH0.5,"[512, 256, 128]",500,5e-05,0.1,focal,0.5,96.63000000000005,23.84017784017784,35.27272727272727,Success,1
MLP-XL-W1000-LR0.0001-DO0.1-focal-TH0.3,"[512, 256, 128]",1000,0.0001,0.1,focal,0.3,95.57000000000005,26.11057662658033,38.751625487646294,Success,0
MLP-XL-W1000-LR0.0001-DO0.1-focal-TH0.4,"[512, 256, 128]",1000,0.0001,0.1,focal,0.4,96.14999999999986,24.210264263317036,35.78274760383386,Success,1
MLP-XL-W1000-LR0.0001-DO0.1-focal-TH0.5,"[512, 256, 128]",1000,0.0001,0.1,focal,0.5,96.38999999999994,18.795118891486574,27.307692307692307,Success,0
MLP-XL-W1000-LR5e-05-DO0.1-focal-TH0.3,"[512, 256, 128]",1000,5e-05,0.1,focal,0.3,95.90000000000015,27.987228232135386,42.62734584450401,Success,1
MLP-XL-W1000-LR5e-05-DO0.1-focal-TH0.4,"[512, 256, 128]",1000,5e-05,0.1,focal,0.4,96.47999999999998,27.63382787370793,41.71974522292994,Success,0
MLP-XL-W1000-LR5e-05-DO0.1-focal-TH0.5,"[512, 256, 128]",1000,5e-05,0.1,focal,0.5,96.63999999999992,23.878787878787875,35.33697632058288,Success,1
MLP-XL-W1500-LR0.0001-DO0.1-focal-TH0.3,"[512, 256, 128]",1500,0.0001,0.1,focal,0.3,95.67000000000014,25.532265396095184,38.17204301075268,Success,0
MLP-XL-W1500-LR0.0001-DO0.1-focal-TH0.4,"[512, 256, 128]",1500,0.0001,0.1,focal,0.4,96.19999999999992,23.38965277686752,34.75409836065573,Success,1
MLP-XL-W1500-LR0.0001-DO0.1-focal-TH0.5,"[512, 256, 128]",1500,0.0001,0.1,focal,0.5,96.4200000000003,17.91952286898261,25.98425196850394,Success,0
MLP-XL-W1500-LR5e-05-DO0.1-focal-TH0.3,"[512, 256, 128]",1500,5e-05,0.1,focal,0.3,95.99999999999987,27.3439397619626,41.94444444444445,Success,1
MLP-XL-W1500-LR5e-05-DO0.1-focal-TH0.4,"[512, 256, 128]",1500,5e-05,0.1,focal,0.4,96.5000000000004,26.644241987672775,40.45676998368678,Success,0
MLP-XL-W1500-LR5e-05-DO0.1-focal-TH0.5,"[512, 256, 128]",1500,5e-05,0.1,focal,0.5,96.66000000000015,23.00952380952381,34.2007434944238,Success,1
