Model,Window Size,LR,Alpha,Gamma,Threshold,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-W1000-LR5e-05-A0.25-G1.0-TH0.2,1000,5e-05,0.25,1.0,0.2,95.80999999999996,28.423696417590183,43.859649122807014,Success,0
MLP-W1000-LR5e-05-A0.25-G1.0-TH0.25,1000,5e-05,0.25,1.0,0.25,96.24000000000008,29.103186845753275,44.63276836158192,Success,1
MLP-W1000-LR5e-05-A0.25-G1.0-TH0.3,1000,5e-05,0.25,1.0,0.3,96.47999999999992,28.450888192267502,43.410852713178286,Success,0
MLP-W1000-LR5e-05-A0.25-G2.0-TH0.2,1000,5e-05,0.25,2.0,0.2,93.5299999999998,26.969724216031132,36.99222126188418,Success,1
MLP-W1000-LR5e-05-A0.25-G2.0-TH0.25,1000,5e-05,0.25,2.0,0.25,95.20000000000012,29.477713875154464,42.44444444444444,Success,0
MLP-W1000-LR5e-05-A0.25-G2.0-TH0.3,1000,5e-05,0.25,2.0,0.3,96.08999999999978,29.51362943441077,45.45454545454545,Success,1
MLP-W1000-LR5e-05-A0.25-G3.0-TH0.2,1000,5e-05,0.25,3.0,0.2,87.32999999999991,19.96656578477973,22.22222222222222,Success,0
MLP-W1000-LR5e-05-A0.25-G3.0-TH0.25,1000,5e-05,0.25,3.0,0.25,92.04000000000016,24.27157713798197,31.678832116788314,Success,1
MLP-W1000-LR5e-05-A0.25-G3.0-TH0.3,1000,5e-05,0.25,3.0,0.3,94.80000000000005,27.677210229456072,40.58885383806519,Success,0
MLP-W1000-LR5e-05-A0.5-G1.0-TH0.2,1000,5e-05,0.5,1.0,0.2,94.30000000000007,26.915565738799785,39.69896519285042,Success,1
MLP-W1000-LR5e-05-A0.5-G1.0-TH0.25,1000,5e-05,0.5,1.0,0.25,95.25000000000009,28.10306978665328,43.046357615894046,Success,0
MLP-W1000-LR5e-05-A0.5-G1.0-TH0.3,1000,5e-05,0.5,1.0,0.3,95.88999999999977,29.253075698714564,45.063291139240505,Success,1
MLP-W1000-LR5e-05-A0.5-G2.0-TH0.2,1000,5e-05,0.5,2.0,0.2,88.48000000000026,21.011318273256457,24.485596707818928,Success,0
MLP-W1000-LR5e-05-A0.5-G2.0-TH0.25,1000,5e-05,0.5,2.0,0.25,92.42000000000048,25.3298706994298,33.38391502276176,Success,1
MLP-W1000-LR5e-05-A0.5-G2.0-TH0.3,1000,5e-05,0.5,2.0,0.3,94.54000000000013,27.154679323354024,40.079760717846455,Success,0
MLP-W1000-LR5e-05-A0.5-G3.0-TH0.2,1000,5e-05,0.5,3.0,0.2,80.35999999999959,15.627456459082593,14.842840512223518,Success,1
MLP-W1000-LR5e-05-A0.5-G3.0-TH0.25,1000,5e-05,0.5,3.0,0.25,86.46999999999993,19.432785754367536,21.052631578947366,Success,0
MLP-W1000-LR5e-05-A0.5-G3.0-TH0.3,1000,5e-05,0.5,3.0,0.3,91.28999999999978,23.479732312285325,29.665071770334933,Success,1
MLP-W1000-LR5e-05-A0.75-G1.0-TH0.2,1000,5e-05,0.75,1.0,0.2,89.55000000000001,20.96060675770821,26.51558073654391,Success,0
MLP-W1000-LR5e-05-A0.75-G1.0-TH0.25,1000,5e-05,0.75,1.0,0.25,92.12000000000012,23.632544719245452,32.86661753868828,Success,1
MLP-W1000-LR5e-05-A0.75-G1.0-TH0.3,1000,5e-05,0.75,1.0,0.3,93.65000000000006,25.19810237636202,37.13527851458886,Success,0
MLP-W1000-LR5e-05-A0.75-G2.0-TH0.2,1000,5e-05,0.75,2.0,0.2,80.86000000000008,15.641740228680664,15.631757800432498,Success,1
MLP-W1000-LR5e-05-A0.75-G2.0-TH0.25,1000,5e-05,0.75,2.0,0.25,86.50000000000023,19.671751196498253,21.63136547994592,Success,0
MLP-W1000-LR5e-05-A0.75-G2.0-TH0.3,1000,5e-05,0.75,2.0,0.3,90.05999999999992,22.921930533399717,27.80487804878049,Success,1
MLP-W1000-LR5e-05-A0.75-G3.0-TH0.2,1000,5e-05,0.75,3.0,0.2,70.74000000000026,11.60607041996928,10.048798120368698,Success,0
MLP-W1000-LR5e-05-A0.75-G3.0-TH0.25,1000,5e-05,0.75,3.0,0.25,78.79000000000052,15.747966839246299,14.762840303115352,Success,1
MLP-W1000-LR5e-05-A0.75-G3.0-TH0.3,1000,5e-05,0.75,3.0,0.3,84.8999999999996,19.16883552031818,20.40816326530612,Success,0
MLP-W1000-LR0.0001-A0.25-G1.0-TH0.2,1000,0.0001,0.25,1.0,0.2,95.53999999999992,29.2994414826098,42.053789731051346,Success,1
MLP-W1000-LR0.0001-A0.25-G1.0-TH0.25,1000,0.0001,0.25,1.0,0.25,96.08999999999986,27.869704377937776,42.640990371389265,Success,0
