Model,Loss,Alpha,Gamma,ExactMatch,Macro F1,Micro F1,Duration,Device,Status
MLP-XLarge-LR5e5-W500,BCE,BCE,BCE,97.22999999999999,35.39326480428609,52.0,38.932724475860596,cuda:0,Success
MLP-XLarge-LR5e5-W500,Focal,0.25,1.0,97.22000000000007,30.902481280281897,45.368620037807176,45.662012338638306,cuda:0,Success
MLP-XLarge-LR5e5-W500,Focal,0.25,2.0,97.16000000000017,30.244023266816956,44.44444444444445,46.38537955284119,cuda:1,Success
MLP-XLarge-LR5e5-W500,Focal,0.25,3.0,97.18000000000006,30.551834006460066,44.85981308411214,44.63580799102783,cuda:1,Success
MLP-XLarge-LR5e5-W500,Focal,0.25,5.0,97.15000000000006,30.213705991971086,44.48598130841121,45.440037965774536,cuda:0,Success
MLP-XLarge-LR5e5-W500,Focal,0.5,1.0,97.22999999999982,35.374473355796326,51.98675496688742,45.76759219169617,cuda:0,Success
MLP-XLarge-LR5e5-W500,Focal,0.5,2.0,97.21999999999977,35.59487721531597,52.45901639344262,45.600972175598145,cuda:1,Success
MLP-XLarge-LR5e5-W500,Focal,0.5,3.0,97.19999999999982,35.45719328374717,52.27272727272727,45.42789578437805,cuda:1,Success
MLP-XLarge-LR5e5-W500,Focal,0.5,5.0,97.21000000000002,35.765267571719185,52.81803542673108,45.2755389213562,cuda:0,Success
MLP-XLarge-LR5e5-W500,Focal,0.75,1.0,96.82000000000002,36.60451065998407,53.20056899004268,45.3719437122345,cuda:0,Success
MLP-XLarge-LR5e5-W500,Focal,0.75,2.0,96.84000000000019,37.156826360773735,54.11436541143654,44.737712144851685,cuda:1,Success
MLP-XLarge-LR5e5-W500,Focal,0.75,3.0,96.80000000000018,37.37605563913191,54.068965517241374,44.24675965309143,cuda:1,Success
MLP-XLarge-LR5e5-W500,Focal,0.75,5.0,96.71000000000008,37.92854652088546,54.32756324900133,42.63304328918457,cuda:0,Success
