Model,Architecture,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status
MLP-Small-LR1e3-W100,"[64, 32]",0.001,0.3,100,97.17000000000007,31.68269577910559,47.142857142857146,Success
MLP-Small-LR1e3-W200,"[64, 32]",0.001,0.3,200,97.35000000000007,35.5461724153313,52.3972602739726,Success
MLP-Small-LR1e3-W500,"[64, 32]",0.001,0.3,500,97.35999999999999,35.094058411407914,50.44722719141323,Success
MLP-Small-LR5e4-W100,"[64, 32]",0.0005,0.3,100,97.28999999999989,32.65276811137124,47.985347985347985,Success
MLP-Small-LR5e4-W200,"[64, 32]",0.0005,0.3,200,97.40999999999993,36.19760035981503,52.88966725043783,Success
MLP-Small-LR5e4-W500,"[64, 32]",0.0005,0.3,500,97.39999999999989,37.91236767451173,55.425709515859765,Success
MLP-Small-LR1e4-W100,"[64, 32]",0.0001,0.3,100,97.2099999999998,31.66327139442311,46.909090909090914,Success
MLP-Small-LR1e4-W200,"[64, 32]",0.0001,0.3,200,97.26999999999984,32.93964335550801,47.51381215469613,Success
MLP-Small-LR1e4-W500,"[64, 32]",0.0001,0.3,500,97.33000000000004,35.153222679339855,50.0900900900901,Success
MLP-Medium-LR1e3-W100,"[128, 64, 32]",0.001,0.3,100,97.0699999999999,33.40213754499469,49.08180300500834,Success
MLP-Medium-LR1e3-W200,"[128, 64, 32]",0.001,0.3,200,96.95000000000003,32.16429546339356,46.801346801346796,Success
MLP-Medium-LR1e3-W500,"[128, 64, 32]",0.001,0.3,500,97.32000000000005,39.52950960098656,56.69781931464174,Success
MLP-Medium-LR5e4-W100,"[128, 64, 32]",0.0005,0.3,100,97.11000000000038,35.90084739051239,51.14006514657981,Success
MLP-Medium-LR5e4-W200,"[128, 64, 32]",0.0005,0.3,200,97.30000000000025,38.0926429080689,54.15986949429037,Success
MLP-Medium-LR5e4-W500,"[128, 64, 32]",0.0005,0.3,500,97.43999999999977,40.3037405208955,57.777777777777786,Success
MLP-Medium-LR1e4-W100,"[128, 64, 32]",0.0001,0.3,100,97.24999999999983,35.61477700348975,51.83946488294314,Success
MLP-Medium-LR1e4-W200,"[128, 64, 32]",0.0001,0.3,200,97.38999999999972,37.695645550439444,53.80710659898477,Success
MLP-Medium-LR1e4-W500,"[128, 64, 32]",0.0001,0.3,500,97.47000000000001,40.47868505944452,57.51633986928104,Success
MLP-Medium-LR5e5-W100,"[128, 64, 32]",5e-05,0.3,100,97.22999999999992,32.43100091417247,49.036777583187394,Success
MLP-Medium-LR5e5-W200,"[128, 64, 32]",5e-05,0.3,200,97.35000000000018,36.152776209174235,52.63157894736842,Success
MLP-Medium-LR5e5-W500,"[128, 64, 32]",5e-05,0.3,500,97.37999999999997,35.92652879960211,52.667814113597245,Success
MLP-Large-LR1e3-W100,"[256, 128, 64]",0.001,0.3,100,96.98000000000022,35.27805196669474,51.242236024844715,Success
MLP-Large-LR1e3-W200,"[256, 128, 64]",0.001,0.3,200,97.05999999999977,36.79683985605038,53.230769230769226,Success
MLP-Large-LR1e3-W500,"[256, 128, 64]",0.001,0.3,500,97.24000000000004,39.28627817871364,56.12403100775193,Success
MLP-Large-LR5e4-W100,"[256, 128, 64]",0.0005,0.3,100,97.06000000000029,35.50462835614401,51.73501577287066,Success
MLP-Large-LR5e4-W200,"[256, 128, 64]",0.0005,0.3,200,97.23000000000025,38.52095565127188,55.55555555555555,Success
MLP-Large-LR5e4-W500,"[256, 128, 64]",0.0005,0.3,500,97.30000000000007,40.38742362698805,56.83563748079876,Success
MLP-Large-LR1e4-W100,"[256, 128, 64]",0.0001,0.3,100,97.18999999999987,37.69842616210147,53.968253968253975,Success
MLP-Large-LR1e4-W200,"[256, 128, 64]",0.0001,0.3,200,97.38000000000012,40.401129541981255,57.09779179810725,Success
MLP-Large-LR1e4-W500,"[256, 128, 64]",0.0001,0.3,500,97.44000000000013,41.69198633145159,58.71271585557301,Success
MLP-Large-LR5e5-W100,"[256, 128, 64]",5e-05,0.3,100,97.21999999999993,36.22830752852208,53.09446254071661,Success
MLP-Large-LR5e5-W200,"[256, 128, 64]",5e-05,0.3,200,97.27000000000012,39.46173446520763,55.9748427672956,Success
MLP-Large-LR5e5-W500,"[256, 128, 64]",5e-05,0.3,500,97.51999999999981,41.57361254519925,59.554140127388536,Success
MLP-XLarge-LR5e4-W100,"[512, 256, 128]",0.0005,0.3,100,97.05999999999997,38.06718088870568,52.77777777777778,Success
MLP-XLarge-LR5e4-W200,"[512, 256, 128]",0.0005,0.3,200,97.20999999999958,38.96839438510903,55.828220858895705,Success
MLP-XLarge-LR5e4-W500,"[512, 256, 128]",0.0005,0.3,500,97.33999999999948,40.26480291502542,57.31895223420648,Success
MLP-XLarge-LR1e4-W100,"[512, 256, 128]",0.0001,0.3,100,97.10999999999983,38.43071762573073,54.07066052227343,Success
MLP-XLarge-LR1e4-W200,"[512, 256, 128]",0.0001,0.3,200,97.18999999999988,39.51680641496459,55.742725880551305,Success
MLP-XLarge-LR1e4-W500,"[512, 256, 128]",0.0001,0.3,500,97.34999999999981,41.19801651695113,57.453416149068325,Success
MLP-XLarge-LR5e5-W100,"[512, 256, 128]",5e-05,0.3,100,97.1999999999998,39.150569881004664,55.521472392638024,Success
MLP-XLarge-LR5e5-W200,"[512, 256, 128]",5e-05,0.3,200,97.24000000000032,40.453227795460634,57.05614567526555,Success
MLP-XLarge-LR5e5-W500,"[512, 256, 128]",5e-05,0.3,500,97.33000000000001,40.714639482770096,57.32087227414331,Success
