Model,Architecture,Window Size,LR,Dropout,Loss,Threshold,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-XL-W500-LR0.0001-DO0.1-focal-TH0.3,"[512, 256, 128]",500,0.0001,0.1,focal,0.3,97.07000000000009,41.394291793394935,56.73352435530086,Success,0
MLP-XL-W500-LR0.0001-DO0.1-focal-TH0.4,"[512, 256, 128]",500,0.0001,0.1,focal,0.4,97.18999999999983,41.43825202792755,56.58682634730538,Success,1
MLP-XL-W500-LR0.0001-DO0.1-focal-TH0.5,"[512, 256, 128]",500,0.0001,0.1,focal,0.5,97.37,40.80490964198908,57.637795275590555,Success,0
MLP-XL-W500-LR5e-05-DO0.1-focal-TH0.3,"[512, 256, 128]",500,5e-05,0.1,focal,0.3,97.0900000000002,41.25657788236193,56.98005698005698,Success,1
MLP-XL-W500-LR5e-05-DO0.1-focal-TH0.4,"[512, 256, 128]",500,5e-05,0.1,focal,0.4,97.28000000000004,41.43552714511224,57.534246575342465,Success,0
MLP-XL-W500-LR5e-05-DO0.1-focal-TH0.5,"[512, 256, 128]",500,5e-05,0.1,focal,0.5,97.41000000000001,41.21039046526777,58.12500000000001,Success,1
MLP-XL-W1000-LR0.0001-DO0.1-focal-TH0.3,"[512, 256, 128]",1000,0.0001,0.1,focal,0.3,97.05000000000024,38.884376567445564,53.12977099236641,Success,0
MLP-XL-W1000-LR0.0001-DO0.1-focal-TH0.4,"[512, 256, 128]",1000,0.0001,0.1,focal,0.4,97.25000000000009,39.53365178208823,54.45705024311184,Success,1
MLP-XL-W1000-LR0.0001-DO0.1-focal-TH0.5,"[512, 256, 128]",1000,0.0001,0.1,focal,0.5,97.30999999999995,38.93656378021703,54.337152209492636,Success,0
MLP-XL-W1000-LR5e-05-DO0.1-focal-TH0.3,"[512, 256, 128]",1000,5e-05,0.1,focal,0.3,97.1600000000002,40.604857962634426,55.487804878048784,Success,1
MLP-XL-W1000-LR5e-05-DO0.1-focal-TH0.4,"[512, 256, 128]",1000,5e-05,0.1,focal,0.4,97.26000000000006,39.75089983842251,54.487179487179496,Success,0
MLP-XL-W1000-LR5e-05-DO0.1-focal-TH0.5,"[512, 256, 128]",1000,5e-05,0.1,focal,0.5,97.38999999999987,39.79259673193787,55.183946488294325,Success,1
MLP-XL-W1500-LR0.0001-DO0.1-focal-TH0.3,"[512, 256, 128]",1500,0.0001,0.1,focal,0.3,96.85999999999996,35.34605087014725,46.25407166123778,Success,0
MLP-XL-W1500-LR0.0001-DO0.1-focal-TH0.4,"[512, 256, 128]",1500,0.0001,0.1,focal,0.4,96.94000000000005,34.44043758002173,46.28378378378378,Success,1
MLP-XL-W1500-LR0.0001-DO0.1-focal-TH0.5,"[512, 256, 128]",1500,0.0001,0.1,focal,0.5,97.00000000000004,32.96438811821802,45.342706502636204,Success,0
MLP-XL-W1500-LR5e-05-DO0.1-focal-TH0.3,"[512, 256, 128]",1500,5e-05,0.1,focal,0.3,96.98000000000046,36.07523667504193,48.61337683523654,Success,1
MLP-XL-W1500-LR5e-05-DO0.1-focal-TH0.4,"[512, 256, 128]",1500,5e-05,0.1,focal,0.4,96.95999999999967,34.87078573944489,46.97986577181208,Success,0
MLP-XL-W1500-LR5e-05-DO0.1-focal-TH0.5,"[512, 256, 128]",1500,5e-05,0.1,focal,0.5,96.94999999999983,32.769592124926405,44.833625218914186,Success,1
