Name,Loss,Input_win,Output_win,Delta,Sigma,Exact Match,Macro F1,Micro F1,Time
M4_Embed_WCE_iw1720_ow60_s30,WCE,1720,60,0,30,76.73048600883673,16.762719296105406,27.655986509274875,144.73513650894165
M4_Embed_WCE_iw1720_ow60_s60,WCE,1720,60,0,60,73.03983228511538,4.626618862418109,15.364583333333334,73.62830090522766
M4_Embed_WCE_iw1720_ow90_s60,WCE,1720,90,0,60,72.14765100671143,16.573165858311672,23.72517444981213,73.7430100440979
M4_Embed_WCE_iw1720_ow480_s60,WCE,1720,480,0,60,65.30698065601345,45.290177298004586,55.42380324989021,72.60138583183289
M4_Embed_WCE_iw1720_ow90_s70,WCE,1720,90,0,70,70.38310412573675,7.442456984023151,20.23884349465745,61.67833709716797
M4_Embed_WCE_iw1720_ow60_s90,WCE,1720,60,0,90,71.60883280757105,2.41483717900571,10.863239573229876,49.17786741256714
M4_Embed_WCE_iw1720_ow90_s90,WCE,1720,90,0,90,69.06565656565647,3.9496691903493106,14.808917197452228,47.431596994400024
M4_Embed_WCE_iw1720_ow480_s120,WCE,1720,480,0,120,59.99999999999994,30.367943363063276,40.24948024948025,35.895084857940674
M4_Embed_WCE_iw1720_ow480_s240,WCE,1720,480,0,240,57.07070707070705,18.26005580843907,28.04232804232804,18.864981412887573
M4_Embed_WCE_iw1720_ow480_s360,WCE,1720,480,0,360,49.74999999999998,10.68018330131155,21.079046424090336,12.328582286834717
M4_Embed_WCE_iw1720_ow480_s480,WCE,1720,480,0,480,57.28476821192052,6.819489179402972,17.293233082706767,9.87276315689087
M4_Embed_WFL_iw1720_ow60_s30,WFL,1720,60,0,30,66.9051125604882,14.541413483411283,23.02867383512545,145.57899713516235
M4_Embed_WFL_iw1720_ow60_s60,WFL,1720,60,0,60,63.689727463312416,4.585295726080875,13.3276740237691,75.31108713150024
M4_Embed_WFL_iw1720_ow90_s60,WFL,1720,90,0,60,63.12919463087253,11.989499145575737,19.913106444605358,74.94291973114014
M4_Embed_WFL_iw1720_ow480_s60,WFL,1720,480,0,60,59.54583683767858,41.70629800905054,51.60928143712575,74.84878301620483
M4_Embed_WFL_iw1720_ow90_s70,WFL,1720,90,0,70,60.461689587426314,8.845663936948855,17.75660459073192,65.19235563278198
M4_Embed_WFL_iw1720_ow60_s90,WFL,1720,60,0,90,63.53312302839118,2.73093578911331,10.51194539249147,50.02035617828369
M4_Embed_WFL_iw1720_ow90_s90,WFL,1720,90,0,90,60.29040404040399,4.6737582198324485,12.859560067681894,49.9704155921936
M4_Embed_WFL_iw1720_ow480_s120,WFL,1720,480,0,120,54.03361344537829,31.063621595162793,38.07245386192755,36.65913724899292
M4_Embed_WFL_iw1720_ow480_s240,WFL,1720,480,0,240,49.49494949494952,15.82902025798028,25.827384815055154,18.813313007354736
M4_Embed_WFL_iw1720_ow480_s360,WFL,1720,480,0,360,44.00000000000003,11.011429016595589,21.421215242018537,13.10945725440979
M4_Embed_WFL_iw1720_ow480_s480,WFL,1720,480,0,480,47.01986754966886,7.727065238980391,14.713216957605985,10.021835088729858
