Name,Loss,Input_win,Output_win,Delta,Sigma,Exact Match,Macro F1,Micro F1,Time
M4_WCE_iw1720_ow60_s30,WCE,1720,60,0,30,76.03618767094468,14.722783965639904,26.17449664429531,143.50794315338135
M4_WCE_iw1720_ow60_s60,WCE,1720,60,0,60,72.62054507337524,3.4874612079226903,14.57649376231123,73.88889074325562
M4_WCE_iw1720_ow90_s60,WCE,1720,90,0,60,71.39261744966457,11.781993322563721,21.269841269841272,72.6546688079834
M4_WCE_iw1720_ow480_s60,WCE,1720,480,0,60,64.25567703952886,44.603691759266454,53.955555555555556,72.75988149642944
M4_WCE_iw1720_ow90_s70,WCE,1720,90,0,70,70.72691552062864,7.531303567840192,18.404118404118403,62.63473558425903
M4_WCE_iw1720_ow60_s90,WCE,1720,60,0,90,71.16719242902208,2.0390270913859316,10.62992125984252,48.58879804611206
M4_WCE_iw1720_ow90_s90,WCE,1720,90,0,90,69.57070707070709,3.530776127766895,12.053925455987311,48.61358594894409
M4_WCE_iw1720_ow480_s120,WCE,1720,480,0,120,58.571428571428655,30.86282516918213,39.296439296439296,36.0038526058197
M4_WCE_iw1720_ow480_s240,WCE,1720,480,0,240,54.3771043771044,15.11601138575491,26.427962489343564,18.695328950881958
M4_WCE_iw1720_ow480_s360,WCE,1720,480,0,360,47.75000000000003,9.257056083736481,20.2020202020202,12.352819681167603
M4_WCE_iw1720_ow480_s480,WCE,1720,480,0,480,56.29139072847678,7.809672981121676,17.97752808988764,8.959829807281494
M4_WFL_iw1720_ow60_s30,WFL,1720,60,0,30,66.14769619187886,10.982750488572766,20.28553164287236,147.2520990371704
M4_WFL_iw1720_ow60_s60,WFL,1720,60,0,60,64.27672955974829,4.778905183251466,13.32770982707718,73.7426323890686
M4_WFL_iw1720_ow90_s60,WFL,1720,90,0,60,63.045302013422834,9.540595088422416,19.63144039112448,72.71473407745361
M4_WFL_iw1720_ow480_s60,WFL,1720,480,0,60,58.074011774600464,39.748665264571514,48.301329394387,72.47911667823792
M4_WFL_iw1720_ow90_s70,WFL,1720,90,0,70,59.97053045186651,6.518350484661623,16.346153846153847,62.19836711883545
M4_WFL_iw1720_ow60_s90,WFL,1720,60,0,90,64.85804416403788,2.2540600223198117,10.615711252653927,49.84106922149658
M4_WFL_iw1720_ow90_s90,WFL,1720,90,0,90,60.03787878787873,4.234162602000147,12.849162011173185,49.90407395362854
M4_WFL_iw1720_ow480_s120,WFL,1720,480,0,120,52.18487394957987,28.1343328134813,34.80885311871227,38.54702806472778
M4_WFL_iw1720_ow480_s240,WFL,1720,480,0,240,45.7912457912458,16.890294149689673,24.5505269683819,18.920615911483765
M4_WFL_iw1720_ow480_s360,WFL,1720,480,0,360,40.249999999999986,11.41922050942194,19.544592030360537,12.217102289199829
M4_WFL_iw1720_ow480_s480,WFL,1720,480,0,480,44.37086092715236,6.453830823625515,16.464237516869098,9.111410856246948
