Name,Loss,Input_win,Output_win,Delta,Sigma,Exact Match,Macro F1,Micro F1,Time
M4_Embed_WCE_iw1720_ow60_s30,WCE,1720,60,0,30,59.6254996844099,1.6718319144497382,6.387128230131644,12.181285858154297
M4_Embed_WCE_iw1720_ow60_s60,WCE,1720,60,0,60,53.16561844863752,1.177859564629586,4.521404521404522,6.352059841156006
M4_Embed_WCE_iw1720_ow90_s60,WCE,1720,90,0,60,45.973154362416075,1.723466826729964,6.639912440715068,6.162384510040283
M4_Embed_WCE_iw1720_ow480_s60,WCE,1720,480,0,60,28.847771236333042,16.658399940265713,24.112011790714817,6.285273551940918
M4_Embed_WCE_iw1720_ow90_s70,WCE,1720,90,0,70,42.43614931237723,1.2098145067084316,4.861693210393964,5.55911111831665
M4_Embed_WCE_iw1720_ow60_s90,WCE,1720,60,0,90,50.66246056782335,1.0193534467545569,4.205946337926033,4.260837554931641
M4_Embed_WCE_iw1720_ow90_s90,WCE,1720,90,0,90,46.90656565656572,1.9630803779993469,6.525472238122496,4.069524526596069
M4_Embed_WCE_iw1720_ow480_s120,WCE,1720,480,0,120,15.882352941176475,6.9248523887372375,13.559322033898304,3.3001155853271484
M4_Embed_WCE_iw1720_ow480_s240,WCE,1720,480,0,240,10.101010101010104,5.288174056587085,14.211076280041796,1.8937864303588867
M4_Embed_WCE_iw1720_ow480_s360,WCE,1720,480,0,360,10.499999999999996,4.494730139491015,14.864864864864865,1.3887219429016113
M4_Embed_WCE_iw1720_ow480_s480,WCE,1720,480,0,480,9.27152317880795,2.9184264293717543,10.57347670250896,1.1704192161560059
M4_Embed_WFL_iw1720_ow60_s30,WFL,1720,60,0,30,60.10940458657681,1.9459604182879786,7.003891050583657,12.339621782302856
M4_Embed_WFL_iw1720_ow60_s60,WFL,1720,60,0,60,51.61425576519909,1.6602780556271628,5.203103605659516,6.458209276199341
M4_Embed_WFL_iw1720_ow90_s60,WFL,1720,90,0,60,45.76342281879195,1.831096489176812,5.905653583003241,6.5137529373168945
M4_Embed_WFL_iw1720_ow480_s60,WFL,1720,480,0,60,24.726661059714043,19.644774311157175,23.645465253239106,6.461175441741943
M4_Embed_WFL_iw1720_ow90_s70,WFL,1720,90,0,70,47.740667976424376,1.5764356695967923,5.464006938421509,5.662886142730713
M4_Embed_WFL_iw1720_ow60_s90,WFL,1720,60,0,90,51.54574132492099,1.0561925352898125,3.8571428571428568,4.4229795932769775
M4_Embed_WFL_iw1720_ow90_s90,WFL,1720,90,0,90,44.381313131313135,1.5530990315897564,5.636978579481398,4.499319314956665
M4_Embed_WFL_iw1720_ow480_s120,WFL,1720,480,0,120,15.294117647058854,7.778767275298011,15.209928703459202,3.5079543590545654
M4_Embed_WFL_iw1720_ow480_s240,WFL,1720,480,0,240,12.121212121212112,4.444295059895685,13.690169840452906,1.9640765190124512
M4_Embed_WFL_iw1720_ow480_s360,WFL,1720,480,0,360,9.250000000000009,5.214869551920136,14.233308877476155,1.442612886428833
M4_Embed_WFL_iw1720_ow480_s480,WFL,1720,480,0,480,11.258278145695359,3.65259135830666,13.29243353783231,1.2150444984436035
