classifier_type,window_size,epochs,total_samples,accuracy,micro_f1,macro_f1,subset_accuracy,hamming_loss,example_f1,micro_precision,micro_recall,macro_precision,macro_recall,elapsed_time_seconds
RollingMultiLabel,50,1,10000,0.992820,0.185941,0.103147,0.966200,0.007180,0.003867,0.602941,0.109920,0.240690,0.073114,32.72
RollingMultiLabel,50,3,10000,0.992720,0.286275,0.172702,0.965300,0.007280,0.006867,0.532847,0.195710,0.278883,0.135597,76.88
RollingMultiLabel,50,10,10000,0.991620,0.263620,0.167865,0.960300,0.008380,0.007017,0.382653,0.201072,0.213474,0.139570,234.96
RollingMultiLabel,50,50,10000,0.990840,0.256494,0.164766,0.956700,0.009160,0.007533,0.325103,0.211796,0.189977,0.146527,1149.92
RollingMultiLabel,50,100,10000,0.990200,0.227129,0.141596,0.954100,0.009800,0.006917,0.275862,0.193029,0.156786,0.131746,2277.44
RollingMultiLabel,50,150,10000,0.990960,0.249169,0.158665,0.957800,0.009040,0.007067,0.327511,0.201072,0.190769,0.138062,3426.32
RollingMultiLabel,100,1,10000,0.992960,0.207207,0.120460,0.966700,0.007040,0.004367,0.647887,0.123324,0.301977,0.083319,30.90
RollingMultiLabel,100,3,10000,0.992640,0.233333,0.141548,0.965100,0.007360,0.005267,0.523364,0.150134,0.278746,0.104395,77.16
RollingMultiLabel,100,10,10000,0.991620,0.288625,0.182900,0.960600,0.008380,0.007900,0.393519,0.227882,0.221595,0.158233,237.32
RollingMultiLabel,100,50,10000,0.990800,0.285714,0.184797,0.956300,0.009200,0.008517,0.339483,0.246649,0.204075,0.171441,1154.88
RollingMultiLabel,100,100,10000,0.990620,0.247191,0.158811,0.956400,0.009380,0.007367,0.308000,0.206434,0.181883,0.142144,2304.05
RollingMultiLabel,100,150,10000,0.990700,0.241436,0.151317,0.956100,0.009300,0.007000,0.308333,0.198391,0.178117,0.135462,3438.02
RollingMultiLabel,500,1,10000,0.992920,0.233766,0.123097,0.966800,0.007080,0.005167,0.606742,0.144772,0.247786,0.096025,42.22
RollingMultiLabel,500,3,10000,0.992720,0.277778,0.163522,0.965500,0.007280,0.006667,0.534351,0.187668,0.272816,0.128807,90.77
RollingMultiLabel,500,10,10000,0.991400,0.258621,0.152117,0.959200,0.008600,0.007067,0.362319,0.201072,0.181896,0.136726,258.61
RollingMultiLabel,500,50,10000,0.991000,0.244966,0.162164,0.957100,0.009000,0.006783,0.327354,0.195710,0.202473,0.136760,1199.10
