classifier_type,window_size,epochs,total_samples,accuracy,micro_f1,macro_f1,subset_accuracy,hamming_loss,example_f1,micro_precision,micro_recall,macro_precision,macro_recall,elapsed_time_seconds,efficiency
RollingMultiLabel,100,10,10000,0.99162,0.288625,0.1829,0.9606,0.00838,0.0079,0.393519,0.227882,0.221595,0.158233,237.32,0.12161848980279794
RollingMultiLabel,50,3,10000,0.99272,0.286275,0.172702,0.9653,0.00728,0.006867,0.532847,0.19571,0.278883,0.135597,76.88,0.37236602497398547
RollingMultiLabel,100,50,10000,0.9908,0.285714,0.184797,0.9563,0.0092,0.008517,0.339483,0.246649,0.204075,0.171441,1154.88,0.024739713216957605
RollingMultiLabel,500,3,10000,0.99272,0.277778,0.163522,0.9655,0.00728,0.006667,0.534351,0.187668,0.272816,0.128807,90.77,0.30602401674562085
RollingMultiLabel,1000,10,10000,0.99164,0.276817,0.171194,0.96,0.00836,0.0076,0.390244,0.214477,0.212146,0.1479,415.42,0.06663545327620239
RollingMultiLabel,2000,3,10000,0.99268,0.268,0.143315,0.9653,0.00732,0.006433,0.527559,0.179625,0.202155,0.120444,249.84,0.10726865193723983
RollingMultiLabel,50,10,10000,0.99162,0.26362,0.167865,0.9603,0.00838,0.007017,0.382653,0.201072,0.213474,0.13957,234.96,0.11219782090568607
PretrainedRollingMultiLabel,1000,10,10000,0.9929,0.258873,0.172418,0.9663,0.0071,0.00575,0.584906,0.16622,0.324898,0.120646,417.6,0.06199066091954023
RollingMultiLabel,500,10,10000,0.9914,0.258621,0.152117,0.9592,0.0086,0.007067,0.362319,0.201072,0.181896,0.136726,258.61,0.10000425350914503
RollingMultiLabel,50,50,10000,0.99084,0.256494,0.164766,0.9567,0.00916,0.007533,0.325103,0.211796,0.189977,0.146527,1149.92,0.022305377765409768
